pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_80g左右,specInfo_65g左右,specInfo_125g左右,specInfo_110g左右,specInfo_100g左右,specInfo_75g左右,specInfo_150g左右,prodPcat_虾蟹类,prodPcat_其他类
2022-07-20,31.0,201,2,7,-0.3131070409358267,-0.9497178427914317,31.0,30.0,30.0,30.0,30.1,False,True,False,False,False,False,False,True,False
2022-07-20,42.5,201,2,7,-0.3131070409358267,-0.9497178427914317,42.5,42.5,42.5,42.5,42.5,False,False,False,False,True,False,False,True,False
2022-07-20,62.5,201,2,7,-0.3131070409358267,-0.9497178427914317,62.5,62.5,62.5,42.5,62.5,False,False,False,False,True,False,False,False,True
2022-07-20,41.0,201,2,7,-0.3131070409358267,-0.9497178427914317,41.0,40.0,40.0,40.0,40.1,True,False,False,False,False,False,False,True,False
2022-07-20,50.0,201,2,7,-0.3131070409358267,-0.9497178427914317,50.0,50.0,50.0,50.0,50.0,False,False,False,False,False,True,False,True,False
2022-07-20,42.5,201,2,7,-0.3131070409358267,-0.9497178427914317,42.5,42.5,42.5,36.875,42.5,False,False,False,False,False,True,False,False,True
2022-07-20,57.5,201,2,7,-0.3131070409358267,-0.9497178427914317,57.5,57.5,57.5,57.5,57.5,False,False,False,False,False,False,True,True,False
2022-07-20,71.0,201,2,7,-0.3131070409358267,-0.9497178427914317,71.0,71.0,71.0,68.125,71.0,False,False,True,False,False,False,False,False,True
2022-07-20,73.5,201,2,7,-0.3131070409358267,-0.9497178427914317,73.5,73.5,73.5,73.5,73.5,False,False,False,True,False,False,False,True,False
2022-07-20,80.0,201,2,7,-0.3131070409358267,-0.9497178427914317,80.0,80.0,80.0,67.5,80.0,False,False,False,False,False,False,True,False,True
2022-07-21,71.0,202,3,7,-0.3294084822245302,-0.9441875088341994,71.0,71.0,71.0,67.5,71.0,False,False,True,False,False,False,False,False,True
2022-07-21,42.5,202,3,7,-0.3294084822245302,-0.9441875088341994,42.5,42.5,42.5,37.5,42.5,False,False,False,False,False,True,False,False,True
2022-07-21,62.5,202,3,7,-0.3294084822245302,-0.9441875088341994,62.5,62.5,62.5,42.5,62.5,False,False,False,False,True,False,False,False,True
2022-07-21,42.5,202,3,7,-0.3294084822245302,-0.9441875088341994,42.5,42.5,42.5,42.5,42.5,False,False,False,False,True,False,False,True,False
2022-07-21,73.5,202,3,7,-0.3294084822245302,-0.9441875088341994,73.5,73.5,73.5,73.5,73.5,False,False,True,False,False,False,False,True,False
2022-07-21,80.0,202,3,7,-0.3294084822245302,-0.9441875088341994,80.0,80.0,80.0,67.5,80.0,False,False,False,False,False,False,True,False,True
2022-07-21,57.5,202,3,7,-0.3294084822245302,-0.9441875088341994,57.5,57.5,57.5,57.5,57.5,False,False,False,False,False,False,True,True,False
2022-07-21,31.0,202,3,7,-0.3294084822245302,-0.9441875088341994,31.0,30.0,30.0,30.0,30.133333333333333,False,True,False,False,False,False,False,True,False
2022-07-21,41.0,202,3,7,-0.3294084822245302,-0.9441875088341994,41.0,40.0,40.0,40.0,40.13333333333333,True,False,False,False,False,False,False,True,False
2022-07-21,50.0,202,3,7,-0.3294084822245302,-0.9441875088341994,50.0,50.0,50.0,50.0,50.0,False,False,False,False,False,True,False,True,False
2022-07-21,73.5,202,3,7,-0.3294084822245302,-0.9441875088341994,73.5,73.5,73.5,73.5,73.5,False,False,False,True,False,False,False,True,False
2022-07-22,62.5,203,4,7,-0.3456123126707333,-0.9383773917408642,62.5,62.5,62.5,42.5,62.5,False,False,False,False,True,False,False,False,True
2022-07-22,50.0,203,4,7,-0.3456123126707333,-0.9383773917408642,50.0,50.0,50.0,50.0,50.0,False,False,False,False,False,True,False,True,False
2022-07-22,71.0,203,4,7,-0.3456123126707333,-0.9383773917408642,71.0,71.0,71.0,63.5,71.0,False,False,True,False,False,False,False,False,True
2022-07-22,73.5,203,4,7,-0.3456123126707333,-0.9383773917408642,73.5,73.5,73.5,73.5,73.5,False,False,False,True,False,False,False,True,False
2022-07-22,57.5,203,4,7,-0.3456123126707333,-0.9383773917408642,57.5,57.5,57.5,57.5,57.5,False,False,False,False,False,False,True,True,False
2022-07-22,31.0,203,4,7,-0.3456123126707333,-0.9383773917408642,31.0,30.0,30.0,30.0,30.166666666666668,False,True,False,False,False,False,False,True,False
2022-07-22,42.5,203,4,7,-0.3456123126707333,-0.9383773917408642,42.5,42.5,42.5,33.0,42.5,False,False,False,False,False,True,False,False,True
