pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_鲜,prodPcat_海水鱼
2022-08-16,22.5,228,1,8,-0.7055836101071774,-0.70862667826446,22.5,22.5,22.0,20.0,22.35,True,True
2022-08-17,22.5,229,2,8,-0.7176769136759615,-0.6963762255968726,22.5,22.5,22.0,20.0,22.366666666666667,True,True
2022-08-18,22.5,230,3,8,-0.7295575540864876,-0.6839194216246105,22.5,22.5,22.0,20.0,22.383333333333333,True,True
2022-08-19,22.5,231,4,8,-0.7412220108485957,-0.6712599575675315,22.5,22.5,22.0,20.0,22.4,True,True
2022-08-20,22.5,232,5,8,-0.7526668275320083,-0.6584015846980489,22.5,22.5,22.0,20.0,22.416666666666668,True,True
2022-08-21,22.5,233,6,8,-0.7638886127905429,-0.64534811322955,22.5,22.5,22.0,20.0,22.433333333333334,True,True
2022-08-22,22.5,234,0,8,-0.7748840413670406,-0.6321034111873488,22.5,22.5,22.0,20.0,22.45,True,True
2022-08-23,22.5,235,1,8,-0.7856498550787144,-0.6186714032625032,22.5,22.5,22.0,20.0,22.466666666666665,True,True
2022-08-24,22.5,236,2,8,-0.7961828637826154,-0.6050560696488494,22.5,22.5,22.0,20.0,22.483333333333334,True,True
2022-08-25,23.0,237,3,8,-0.8064799463209447,-0.5912614448635782,22.5,22.5,22.0,20.0,22.516666666666666,True,True
2022-08-26,23.5,238,4,8,-0.8165380514459157,-0.5772916165517278,23.0,22.5,22.5,20.0,22.55,True,True
2022-08-27,23.5,239,5,8,-0.8263541987239094,-0.5631507242749187,23.5,22.5,22.5,20.0,22.583333333333332,True,True
2022-08-28,23.5,240,6,8,-0.8359254794186365,-0.5488429582847199,23.5,22.5,22.5,20.0,22.616666666666667,True,True
2022-08-29,23.5,241,0,8,-0.8452490573530634,-0.5343725582809785,23.5,22.5,22.5,20.0,22.65,True,True
2022-08-30,23.5,242,1,8,-0.8543221697498269,-0.5197438121555157,23.5,22.5,22.5,20.0,22.683333333333334,True,True
2022-08-31,23.5,243,2,8,-0.8631421280499115,-0.5049610547215202,23.5,22.5,22.5,20.0,22.716666666666665,True,True
2022-09-01,23.5,244,3,9,-0.8717063187093217,-0.4900286664290594,23.5,23.0,22.5,20.0,22.75,True,True
2022-09-02,23.5,245,4,9,-0.8800122039735356,-0.4749510720670502,23.5,23.5,22.5,20.0,22.783333333333335,True,True
2022-09-03,23.5,246,5,9,-0.888057322629493,-0.4597327394521046,23.5,23.5,22.5,20.0,22.816666666666666,True,True
2022-09-04,23.5,247,6,9,-0.8958392907349089,-0.4443781781046134,23.5,23.5,22.5,20.0,22.85,True,True
2022-09-05,23.5,248,0,9,-0.9033558023246842,-0.4288919379124841,23.5,23.5,22.5,20.0,22.883333333333333,True,True
2022-09-06,23.5,249,1,9,-0.9106046300942162,-0.41327860778290443,23.5,23.5,22.5,20.0,22.916666666666668,True,True
2022-09-07,23.5,250,2,9,-0.9175836260593934,-0.3975428142825566,23.5,23.5,22.5,20.0,22.95,True,True
2022-09-08,23.5,251,3,9,-0.9242907221930934,-0.3816892202666586,23.5,23.5,22.5,20.0,22.983333333333334,True,True
