pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_红心,specInfo_UNKNOWN,prodPcat_进口果
2022-08-09,4.614999999999999,221,1,8,-0.6152845999633277,-0.7883050558305253,4.63,4.72,5.0,3.75,4.765,False,True,True
2022-08-10,5.0,222,2,8,-0.6287628145958345,-0.7775971469736268,5.0,5.0,5.0,4.5,5.0,True,False,True
2022-08-10,4.6,222,2,8,-0.6287628145958345,-0.7775971469736268,4.614999999999999,4.705,4.975,3.75,4.7524999999999995,False,True,True
2022-08-11,4.6,223,3,8,-0.6420547132365636,-0.7666588193001592,4.6,4.6899999999999995,4.95,3.75,4.740833333333333,False,True,True
2022-08-11,5.0,223,3,8,-0.6420547132365636,-0.7666588193001592,5.0,5.0,5.0,4.6,5.0,True,False,True
2022-08-12,5.0,224,4,8,-0.655156357209085,-0.7554933140726804,5.0,5.0,5.0,4.7,5.0,True,False,True
2022-08-12,4.6,224,4,8,-0.655156357209085,-0.7554933140726804,4.6,4.675,4.925,3.75,4.73,False,True,True
2022-08-13,4.6,225,5,8,-0.6680638642135333,-0.7441039398713608,4.6,4.66,4.9,3.75,4.72,False,True,True
2022-08-13,5.0,225,5,8,-0.6680638642135333,-0.7441039398713608,5.0,5.0,5.0,4.8,5.0,True,False,True
2022-08-14,5.0,226,6,8,-0.6807734094770159,-0.7324940716135792,5.0,5.0,5.0,4.9,5.0,True,False,True
2022-08-14,4.6,226,6,8,-0.6807734094770159,-0.7324940716135792,4.6,4.645,4.875,3.75,4.7108333333333325,False,True,True
2022-08-15,4.6,227,0,8,-0.6932812268869771,-0.7206671495538615,4.6,4.63,4.85,3.75,4.7025,False,True,True
2022-08-15,5.0,227,0,8,-0.6932812268869771,-0.7206671495538615,5.0,5.0,5.0,5.0,5.0,True,False,True
2022-08-16,5.0,228,1,8,-0.7055836101071774,-0.70862667826446,5.0,5.0,5.0,5.1,5.0,True,False,True
2022-08-16,4.6,228,1,8,-0.7055836101071774,-0.70862667826446,4.6,4.614999999999999,4.825,3.75,4.694999999999999,False,True,True
2022-08-17,5.0,229,2,8,-0.7176769136759615,-0.6963762255968726,5.0,5.0,5.0,5.2,5.0,True,False,True
2022-08-17,4.6,229,2,8,-0.7176769136759615,-0.6963762255968726,4.6,4.6,4.8,3.75,4.6883333333333335,False,True,True
2022-08-18,5.0,230,3,8,-0.7295575540864876,-0.6839194216246105,5.0,5.0,5.0,5.3,5.0,True,False,True
2022-08-18,4.6,230,3,8,-0.7295575540864876,-0.6839194216246105,4.6,4.6,4.775,3.75,4.6825,False,True,True
2022-08-19,5.0,231,4,8,-0.7412220108485957,-0.6712599575675315,5.0,5.0,5.0,5.4,5.0,True,False,True
2022-08-19,4.6,231,4,8,-0.7412220108485957,-0.6712599575675315,4.6,4.6,4.75,3.75,4.677499999999999,False,True,True
2022-08-20,4.6,232,5,8,-0.7526668275320083,-0.6584015846980489,4.6,4.6,4.75,3.75,4.672499999999999,False,True,True
2022-08-20,5.0,232,5,8,-0.7526668275320083,-0.6584015846980489,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-21,4.583333333333333,233,6,8,-0.7638886127905429,-0.64534811322955,4.6,4.6,4.75,3.75,4.666944444444444,False,True,True
2022-08-21,5.0,233,6,8,-0.7638886127905429,-0.64534811322955,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-22,4.566666666666666,234,0,8,-0.7748840413670406,-0.6321034111873488,4.583333333333333,4.6,4.75,3.75,4.660833333333333,False,True,True
2022-08-22,5.0,234,0,8,-0.7748840413670406,-0.6321034111873488,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-23,5.0,235,1,8,-0.7856498550787144,-0.6186714032625032,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-23,4.55,235,1,8,-0.7856498550787144,-0.6186714032625032,4.566666666666666,4.6,4.75,3.75,4.654166666666666,False,True,True
2022-08-24,4.533333333333333,236,2,8,-0.7961828637826154,-0.6050560696488494,4.55,4.6,4.75,3.75,4.646944444444444,False,True,True
2022-08-24,5.0,236,2,8,-0.7961828637826154,-0.6050560696488494,5.0,5.0,5.0,5.5,5.0,True,False,True
