pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_标桂,prodPcat_淡水鱼
2022-08-13,54.5,225,5,8,-0.6680638642135333,-0.7441039398713608,54.5,54.0,43.5,55.0,52.275,True,True
2022-08-14,54.5,226,6,8,-0.6807734094770159,-0.7324940716135792,54.5,54.0,43.5,55.0,52.641666666666666,True,True
2022-08-15,54.5,227,0,8,-0.6932812268869771,-0.7206671495538615,54.5,54.25,43.5,55.0,53.00833333333333,True,True
2022-08-16,55.5,228,1,8,-0.7055836101071774,-0.70862667826446,54.5,54.5,45.5,55.0,53.34166666666667,True,True
2022-08-17,55.5,229,2,8,-0.7176769136759615,-0.6963762255968726,55.5,54.5,46.5,55.0,53.641666666666666,True,True
2022-08-18,59.0,230,3,8,-0.7295575540864876,-0.6839194216246105,55.5,54.5,46.5,55.0,54.05833333333333,True,True
2022-08-19,62.5,231,4,8,-0.7412220108485957,-0.6712599575675315,59.0,54.5,46.5,55.0,54.59166666666667,True,True
2022-08-20,66.66666666666667,232,5,8,-0.7526668275320083,-0.6584015846980489,62.5,54.5,50.5,55.0,55.13055555555556,True,True
2022-08-21,70.83333333333333,233,6,8,-0.7638886127905429,-0.64534811322955,66.66666666666667,54.5,51.5,55.0,55.775,True,True
2022-08-22,75.0,234,0,8,-0.7748840413670406,-0.6321034111873488,70.83333333333333,54.5,51.5,55.0,56.55833333333333,True,True
2022-08-23,75.0,235,1,8,-0.7856498550787144,-0.6186714032625032,75.0,55.5,51.5,55.0,57.34166666666667,True,True
2022-08-24,75.0,236,2,8,-0.7961828637826154,-0.6050560696488494,75.0,55.5,54.5,55.0,58.025,True,True
2022-08-25,75.0,237,3,8,-0.8064799463209447,-0.5912614448635782,75.0,59.0,54.5,55.0,58.708333333333336,True,True
2022-08-26,73.33333333333333,238,4,8,-0.8165380514459157,-0.5772916165517278,75.0,62.5,54.5,55.0,59.33611111111111,True,True
2022-08-27,71.66666666666667,239,5,8,-0.8263541987239094,-0.5631507242749187,73.33333333333333,66.66666666666667,53.5,55.0,59.94166666666667,True,True
2022-08-28,70.0,240,6,8,-0.8359254794186365,-0.5488429582847199,71.66666666666667,70.83333333333333,57.5,55.0,60.358333333333334,True,True
2022-08-29,70.0,241,0,8,-0.8452490573530634,-0.5343725582809785,70.0,75.0,56.0,55.0,60.825,True,True
2022-08-30,70.0,242,1,8,-0.8543221697498269,-0.5197438121555157,70.0,75.0,54.5,55.0,61.34166666666667,True,True
2022-08-31,70.0,243,2,8,-0.8631421280499115,-0.5049610547215202,70.0,75.0,54.5,55.0,61.858333333333334,True,True
