pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_其他类
2022-10-06,14.5,279,3,10,-0.9959189961471792,0.0902516100310407,14.5,15.5,18.25,8.25,16.416666666666668,True,True
2022-10-07,14.5,280,4,10,-0.994217906893952,0.10738134666416306,14.5,15.5,18.25,8.25,16.291666666666668,True,True
2022-10-08,14.5,281,5,10,-0.9922222094179324,0.12447926388678869,14.5,15.5,18.25,8.25,16.166666666666668,True,True
2022-10-09,14.5,282,6,10,-0.989932495087353,0.141540295217043,14.5,15.5,18.25,8.25,16.041666666666668,True,True
2022-10-10,13.5,283,0,10,-0.9873494423939864,0.15855938510313475,14.5,15.5,18.25,8.25,15.883333333333333,True,True
2022-10-11,13.5,284,1,10,-0.9844738167520923,0.17553149042142777,13.5,15.5,18.25,8.25,15.725,True,True
2022-10-12,12.5,285,2,10,-0.9813064702716093,0.19245158197082995,13.5,14.5,18.25,8.25,15.533333333333333,True,True
2022-10-13,12.5,286,3,10,-0.9778483415056567,0.20931464596304888,12.5,14.5,17.5,8.25,15.366666666666667,True,True
2022-10-14,12.5,287,4,10,-0.9741004551724206,0.22611568550828803,12.5,14.5,17.5,8.25,15.2,True,True
2022-10-15,12.5,288,5,10,-0.970063921851507,0.2428497220959358,12.5,14.5,17.5,8.25,15.033333333333333,True,True
2022-10-16,12.5,289,6,10,-0.965739937654855,0.25951179706979943,12.5,14.5,17.5,8.25,14.866666666666667,True,True
2022-10-17,12.5,290,0,10,-0.9611297838723007,0.27609697309746883,12.5,13.5,17.5,8.25,14.7,True,True
2022-10-18,12.5,291,1,10,-0.9562348265919058,0.2926003356333479,12.5,13.5,17.5,8.25,14.533333333333333,True,True
2022-10-19,12.5,292,2,10,-0.9510565162951536,0.30901699437494723,12.5,12.5,16.5,9.0,14.4,True,True
2022-10-20,12.5,293,3,10,-0.9455963874271428,0.3253420847119795,12.5,12.5,15.5,9.0,14.3,True,True
2022-10-21,12.5,294,4,10,-0.9398560579418953,0.341570769167856,12.5,12.5,15.5,9.0,14.2,True,True
2022-10-22,12.5,295,5,10,-0.9338372288229252,0.35769823883312546,12.5,12.5,15.5,9.0,14.1,True,True
2022-10-23,12.5,296,6,10,-0.9275416835791965,0.3737197147904692,12.5,12.5,15.5,9.0,14.0,True,True
2022-10-24,12.5,297,0,10,-0.9209712877166347,0.38963044953078774,12.5,12.5,15.5,9.0,13.9,True,True
2022-10-25,12.5,298,1,10,-0.9141279881853337,0.4054257283599973,12.5,12.5,15.5,9.0,13.8,True,True
2022-10-26,12.5,299,2,10,-0.9070138128026362,0.42110087079608916,12.5,12.5,15.5,9.0,13.7,True,True
2022-10-27,12.5,300,3,10,-0.8996308696522434,0.4366512319560638,12.5,12.5,15.5,9.0,13.6,True,True
2022-10-28,12.5,301,4,10,-0.8919813464595487,0.45207220393230374,12.5,12.5,15.5,9.0,13.5,True,True
2022-10-29,12.5,302,5,10,-0.8840675099433637,0.46735921715800205,12.5,12.5,15.5,10.0,13.4,True,True
2022-10-30,12.5,303,6,10,-0.8758917051442433,0.48250774176121763,12.5,12.5,15.5,10.0,13.3,True,True
2022-10-31,12.5,304,0,10,-0.8674563547295971,0.4975132889071803,12.5,12.5,15.5,10.0,13.2,True,True
2022-11-01,12.5,305,1,11,-0.858763958275803,0.5123714121284235,12.5,12.5,15.5,10.0,13.1,True,True
2022-11-02,12.5,306,2,11,-0.8498170915275277,0.5270777086423724,12.5,12.5,15.5,10.0,13.0,True,True
2022-11-03,12.5,307,3,11,-0.8406184056344783,0.5416278206559811,12.5,12.5,15.5,10.0,12.9,True,True
2022-11-04,12.5,308,4,11,-0.8311706263658079,0.5560174366570446,12.5,12.5,14.5,10.0,12.833333333333334,True,True
2022-11-05,12.5,309,5,11,-0.8214765533024145,0.5702422926917867,12.5,12.5,14.5,10.0,12.766666666666667,True,True
2022-11-06,12.5,310,6,11,-0.8115390590073611,0.5842981736283683,12.5,12.5,14.5,8.25,12.7,True,True
2022-11-07,12.5,311,0,11,-0.801361088174677,0.5981809144059158,12.5,12.5,14.5,10.0,12.633333333333333,True,True
2022-11-08,12.5,312,1,11,-0.7909456567567774,0.6118864012687242,12.5,12.5,14.5,10.0,12.566666666666666,True,True
2022-11-09,12.5,313,2,11,-0.780295851070776,0.6254105729852457,12.5,12.5,13.5,11.0,12.533333333333333,True,True
2022-11-10,12.5,314,3,11,-0.7694148268839381,0.6387494220515268,12.5,12.5,13.5,11.0,12.5,True,True
2022-11-11,12.5,315,4,11,-0.7583058084785625,0.6518989958787125,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-12,12.5,316,5,11,-0.7469720876965551,0.6648553979642866,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-13,12.5,317,6,11,-0.7354170229639858,0.6776147890466887,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-14,12.5,318,0,11,-0.7236440382959124,0.690173388242972,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-15,12.5,319,1,11,-0.711656622281775,0.7025274741691566,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-16,12.5,320,2,11,-0.6994583270516471,0.7146733860429608,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-17,12.5,321,3,11,-0.6870527672236675,0.7266075247685652,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-18,12.5,322,4,11,-0.6744436188329457,0.7383263540031063,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-19,12.5,323,5,11,-0.661634618242279,0.749826401204568,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-20,12.5,324,6,11,-0.6486295610349818,0.7611042586607742,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-21,12.5,325,0,11,-0.6354323008901775,0.7721565844991641,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-22,12.5,326,1,11,-0.622046748440868,0.7829801036770624,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-23,12.5,327,2,11,-0.6084768701151264,0.7935716089521472,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-24,12.5,328,3,11,-0.594726686960764,0.8039279618328208,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-25,12.5,329,4,11,-0.5808002734538013,0.8140460935082175,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-26,12.5,330,5,11,-0.5667017562911184,0.8239230057575536,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-27,12.5,331,6,11,-0.5524353131676203,0.8335557718385695,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-28,12.5,332,0,11,-0.5380051715382992,0.8429415373547832,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-29,12.5,333,1,11,-0.5234156073655503,0.8520775211013093,12.5,12.5,12.5,11.0,12.5,True,True
2022-11-30,12.5,334,2,11,-0.5086709438521042,0.8609610158889945,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-01,12.5,335,3,12,-0.49377555015997737,0.8695893893466109,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-02,12.5,336,4,12,-0.4787338401157883,0.8779600847008883,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-03,12.5,337,5,12,-0.4635502709028512,0.8860706215341378,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-04,12.5,338,6,12,-0.4482293417404106,0.893918596519257,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-05,12.5,339,0,12,-0.4327755925504317,0.9015016841318838,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-06,12.5,340,1,12,-0.41719360261231697,0.9088176373395028,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-07,12.5,341,2,12,-0.4014879892059737,0.9158642882672868,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-08,12.5,342,3,12,-0.38566340624360745,0.9226395488404875,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-09,12.5,343,4,12,-0.3697245428906732,0.9291414114031743,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-10,12.5,344,5,12,-0.3536761221763721,0.935367949313148,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-11,12.5,345,6,12,-0.33752289959411347,0.941317317512847,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-12,12.5,346,0,12,-0.32126966169236515,0.9469877530760751,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-13,12.5,347,1,12,-0.3049212246562894,0.9523775757303973,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-14,12.5,348,2,12,-0.2884824328806098,0.9574851883550389,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-15,12.5,349,3,12,-0.27195815753410524,0.9623090774541487,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-16,12.5,350,4,12,-0.2553532951161881,0.9668478136052773,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-17,12.5,351,5,12,-0.23867276600594997,0.9711000518829505,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-18,12.5,352,6,12,-0.22192151300416674,0.9750645322571945,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-19,12.5,353,0,12,-0.20510449986861926,0.9787400799669153,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-20,12.5,354,1,12,-0.1882267098432439,0.9821256058680006,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-21,12.5,355,2,12,-0.1712931441814778,0.9852201067560606,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-22,12.5,356,3,12,-0.154308820664281,0.9880226656636976,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-23,12.5,357,4,12,-0.13727877211326517,0.9905324521322227,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-24,12.5,358,5,12,-0.12020804489935275,0.9927487224577402,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-25,12.5,359,6,12,-0.10310169744743544,0.9946708199115211,12.5,12.5,12.5,11.0,12.5,True,True
2022-12-26,11.5,360,0,12,-0.0859647987374467,0.9962981749346077,12.5,12.5,12.5,11.0,12.466666666666667,True,True
2022-12-27,11.5,361,1,12,-0.06880242680232064,0.9976303053065857,11.5,12.5,12.5,11.0,12.433333333333334,True,True
2022-12-28,11.5,362,2,12,-0.05161966722325418,0.9986668162884759,11.5,12.5,12.5,11.0,12.4,True,True
2022-12-29,11.5,363,3,12,-0.034421611622745804,0.9994074007397048,11.5,12.5,12.5,11.0,12.366666666666667,True,True
2022-12-30,11.5,364,4,12,-0.01721335615583528,0.9998518392091162,11.5,12.5,12.5,11.0,12.333333333333334,True,True
2022-12-31,11.5,365,5,12,6.432490598706546e-16,1.0,11.5,12.5,12.5,11.0,12.3,True,True
2023-01-01,11.5,1,6,1,0.017213356155834685,0.9998518392091162,11.5,12.5,12.5,11.0,12.266666666666667,True,True
2023-01-02,11.5,2,0,1,0.03442161162274574,0.9994074007397048,11.5,11.5,12.5,11.0,12.233333333333333,True,True
2023-01-03,11.5,3,1,1,0.051619667223253764,0.998666816288476,11.5,11.5,12.5,11.0,12.2,True,True
2023-01-04,11.5,4,2,1,0.06880242680231986,0.9976303053065857,11.5,11.5,12.5,11.0,12.166666666666666,True,True
2023-01-05,11.5,5,3,1,0.08596479873744647,0.9962981749346078,11.5,11.5,12.5,11.0,12.133333333333333,True,True
2023-01-06,10.5,6,4,1,0.10310169744743485,0.9946708199115211,11.5,11.5,12.5,11.0,12.066666666666666,True,True
2023-01-07,10.5,7,5,1,0.1202080448993527,0.9927487224577402,10.5,11.5,12.5,11.0,12.0,True,True
2023-01-08,10.5,8,6,1,0.13727877211326478,0.9905324521322229,10.5,11.5,12.5,11.0,11.933333333333334,True,True
2023-01-09,10.5,9,0,1,0.15430882066428117,0.9880226656636976,10.5,11.5,12.5,11.0,11.866666666666667,True,True
2023-01-10,10.5,10,1,1,0.1712931441814776,0.9852201067560606,10.5,11.5,12.5,11.0,11.8,True,True
2023-01-11,10.5,11,2,1,0.1882267098432442,0.9821256058680006,10.5,11.5,12.5,11.0,11.733333333333333,True,True
2023-01-12,10.5,12,3,1,0.2051044998686192,0.9787400799669153,10.5,11.5,12.5,11.0,11.666666666666666,True,True
2023-01-13,10.5,13,4,1,0.2219215130041655,0.9750645322571948,10.5,10.5,12.5,11.0,11.6,True,True
2023-01-14,10.5,14,5,1,0.2386727660059501,0.9711000518829505,10.5,10.5,12.5,11.0,11.533333333333333,True,True
2023-01-15,10.5,15,6,1,0.255353295116187,0.9668478136052775,10.5,10.5,12.5,11.0,11.466666666666667,True,True
2023-01-16,10.5,16,0,1,0.2719581575341055,0.9623090774541486,10.5,10.5,12.5,11.0,11.4,True,True
2023-01-17,11.5,17,1,1,0.288482432880609,0.9574851883550393,10.5,10.5,12.5,11.0,11.366666666666667,True,True
2023-01-18,11.0,18,2,1,0.30492122465628907,0.9523775757303974,11.5,10.5,12.5,11.0,11.316666666666666,True,True
2023-01-19,10.5,19,3,1,0.3212696616923644,0.9469877530760753,11.0,10.5,12.5,11.0,11.25,True,True
