pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散,prodPcat_UNKNOWN
2022-08-20,4.5,232,5,8,-0.7526668275320083,-0.6584015846980489,4.5,4.5,5.2,5.0,4.5,True,True
2022-08-21,4.5,233,6,8,-0.7638886127905429,-0.64534811322955,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-22,4.5,234,0,8,-0.7748840413670406,-0.6321034111873488,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-23,4.5,235,1,8,-0.7856498550787144,-0.6186714032625032,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-24,4.5,236,2,8,-0.7961828637826154,-0.6050560696488494,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-25,4.5,237,3,8,-0.8064799463209447,-0.5912614448635782,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-26,4.5,238,4,8,-0.8165380514459157,-0.5772916165517278,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-27,4.5,239,5,8,-0.8263541987239094,-0.5631507242749187,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-28,4.5,240,6,8,-0.8359254794186365,-0.5488429582847199,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-29,4.5,241,0,8,-0.8452490573530634,-0.5343725582809785,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-30,4.5,242,1,8,-0.8543221697498269,-0.5197438121555157,4.5,4.5,4.5,5.0,4.5,True,True
2022-08-31,4.5,243,2,8,-0.8631421280499115,-0.5049610547215202,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-01,4.5,244,3,9,-0.8717063187093217,-0.4900286664290594,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-02,4.5,245,4,9,-0.8800122039735356,-0.4749510720670502,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-03,4.5,246,5,9,-0.888057322629493,-0.4597327394521046,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-04,4.5,247,6,9,-0.8958392907349089,-0.4443781781046134,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-05,4.5,248,0,9,-0.9033558023246842,-0.4288919379124841,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-06,4.5,249,1,9,-0.9106046300942162,-0.41327860778290443,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-07,4.5,250,2,9,-0.9175836260593934,-0.3975428142825566,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-08,4.5,251,3,9,-0.9242907221930934,-0.3816892202666586,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-09,4.5,252,4,9,-0.9307239310379793,-0.3657225234972692,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-10,4.5,253,5,9,-0.9368813462954315,-0.34964745525122826,4.5,4.5,4.5,5.0,4.5,True,True
2022-09-11,4.5,254,6,9,-0.9427611433904206,-0.33346877891818705,4.5,4.5,4.5,5.0,4.5,True,True
