pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_UNKNOWN
2022-08-10,12.5,222,2,8,-0.6287628145958345,-0.7775971469736268,12.5,12.5,12.5,11.5,12.5,True,True
2022-08-11,12.523809523809524,223,3,8,-0.6420547132365636,-0.7666588193001592,12.5,12.5,12.5,11.5,12.50079365079365,True,True
2022-08-12,12.547619047619047,224,4,8,-0.655156357209085,-0.7554933140726804,12.523809523809524,12.5,12.5,11.5,12.502380952380951,True,True
2022-08-13,12.571428571428571,225,5,8,-0.6680638642135333,-0.7441039398713608,12.547619047619047,12.5,12.5,11.5,12.504761904761905,True,True
2022-08-14,12.595238095238095,226,6,8,-0.6807734094770159,-0.7324940716135792,12.571428571428571,12.5,12.5,11.5,12.507936507936508,True,True
2022-08-15,12.619047619047619,227,0,8,-0.6932812268869771,-0.7206671495538615,12.595238095238095,12.5,12.5,11.5,12.511904761904761,True,True
2022-08-16,12.642857142857142,228,1,8,-0.7055836101071774,-0.70862667826446,12.619047619047619,12.5,12.5,11.5,12.516666666666667,True,True
2022-08-17,12.666666666666666,229,2,8,-0.7176769136759615,-0.6963762255968726,12.642857142857142,12.5,12.5,11.5,12.522222222222222,True,True
2022-08-18,12.69047619047619,230,3,8,-0.7295575540864876,-0.6839194216246105,12.666666666666666,12.523809523809524,12.5,11.5,12.528571428571428,True,True
2022-08-19,12.714285714285714,231,4,8,-0.7412220108485957,-0.6712599575675315,12.69047619047619,12.547619047619047,12.5,11.5,12.535714285714285,True,True
2022-08-20,12.738095238095237,232,5,8,-0.7526668275320083,-0.6584015846980489,12.714285714285714,12.571428571428571,12.5,11.5,12.543650793650793,True,True
2022-08-21,12.761904761904763,233,6,8,-0.7638886127905429,-0.64534811322955,12.738095238095237,12.595238095238095,12.5,11.5,12.552380952380952,True,True
2022-08-22,12.785714285714286,234,0,8,-0.7748840413670406,-0.6321034111873488,12.761904761904763,12.619047619047619,12.5,11.5,12.561904761904762,True,True
2022-08-23,12.80952380952381,235,1,8,-0.7856498550787144,-0.6186714032625032,12.785714285714286,12.642857142857142,12.5,11.5,12.572222222222223,True,True
2022-08-24,12.833333333333334,236,2,8,-0.7961828637826154,-0.6050560696488494,12.80952380952381,12.666666666666666,12.5,11.5,12.583333333333334,True,True
2022-08-25,12.857142857142858,237,3,8,-0.8064799463209447,-0.5912614448635782,12.833333333333334,12.69047619047619,12.5,11.5,12.595238095238095,True,True
2022-08-26,12.880952380952381,238,4,8,-0.8165380514459157,-0.5772916165517278,12.857142857142858,12.714285714285714,12.5,11.5,12.607936507936508,True,True
2022-08-27,12.904761904761905,239,5,8,-0.8263541987239094,-0.5631507242749187,12.880952380952381,12.738095238095237,12.5,11.5,12.621428571428572,True,True
2022-08-28,12.928571428571429,240,6,8,-0.8359254794186365,-0.5488429582847199,12.904761904761905,12.761904761904763,12.5,11.5,12.635714285714284,True,True
2022-08-29,12.952380952380953,241,0,8,-0.8452490573530634,-0.5343725582809785,12.928571428571429,12.785714285714286,12.5,11.5,12.65079365079365,True,True
2022-08-30,12.976190476190476,242,1,8,-0.8543221697498269,-0.5197438121555157,12.952380952380953,12.80952380952381,12.5,11.5,12.666666666666666,True,True
2022-08-31,13.0,243,2,8,-0.8631421280499115,-0.5049610547215202,12.976190476190476,12.833333333333334,12.5,11.5,12.683333333333334,True,True
2022-09-01,13.0,244,3,9,-0.8717063187093217,-0.4900286664290594,13.0,12.857142857142858,12.5,11.5,12.7,True,True
2022-09-02,13.0,245,4,9,-0.8800122039735356,-0.4749510720670502,13.0,12.880952380952381,12.5,11.5,12.716666666666667,True,True
2022-09-03,13.0,246,5,9,-0.888057322629493,-0.4597327394521046,13.0,12.904761904761905,12.5,11.5,12.733333333333333,True,True
2022-09-04,13.0,247,6,9,-0.8958392907349089,-0.4443781781046134,13.0,12.928571428571429,12.5,11.5,12.75,True,True
2022-09-05,13.0,248,0,9,-0.9033558023246842,-0.4288919379124841,13.0,12.952380952380953,12.5,11.5,12.766666666666667,True,True
2022-09-06,13.0,249,1,9,-0.9106046300942162,-0.41327860778290443,13.0,12.976190476190476,12.5,11.5,12.783333333333333,True,True
2022-09-07,13.0,250,2,9,-0.9175836260593934,-0.3975428142825566,13.0,13.0,12.5,11.5,12.8,True,True
2022-09-08,13.0,251,3,9,-0.9242907221930934,-0.3816892202666586,13.0,13.0,12.5,11.5,12.816666666666666,True,True
2022-09-09,13.0,252,4,9,-0.9307239310379793,-0.3657225234972692,13.0,13.0,12.5,11.5,12.833333333333334,True,True
2022-09-10,13.0,253,5,9,-0.9368813462954315,-0.34964745525122826,13.0,13.0,12.523809523809524,11.5,12.84920634920635,True,True
2022-09-11,13.15,254,6,9,-0.9427611433904206,-0.33346877891818705,13.0,13.0,12.547619047619047,11.5,12.869285714285715,True,True
2022-09-12,13.3,255,0,9,-0.9483615800121716,-0.31719128858910595,13.15,13.0,12.571428571428571,11.5,12.893571428571427,True,True
2022-09-13,13.45,256,1,9,-0.9536809966304455,-0.300819807635668,13.3,13.0,12.595238095238095,11.5,12.922063492063492,True,True
2022-09-14,13.6,257,2,9,-0.9587178169872964,-0.2843591872810036,13.45,13.0,12.619047619047619,11.5,12.954761904761906,True,True
2022-09-15,13.75,258,3,9,-0.9634705485641486,-0.26781430516217486,13.6,13.0,12.642857142857142,11.5,12.991666666666667,True,True
2022-09-16,13.9,259,4,9,-0.9679377830240642,-0.25119006388481957,13.75,13.0,12.666666666666666,11.5,13.032777777777776,True,True
2022-09-17,14.05,260,5,9,-0.9721181966290612,-0.23449138957041052,13.9,13.0,12.69047619047619,11.5,13.078095238095239,True,True
2022-09-18,14.2,261,6,9,-0.9760105506323682,-0.21772323039653224,14.05,13.15,12.714285714285714,11.5,13.127619047619048,True,True
2022-09-19,14.35,262,0,9,-0.9796136916454901,-0.20089055513063528,14.2,13.3,12.738095238095237,11.5,13.181349206349207,True,True
2022-09-20,14.5,263,1,9,-0.9829265519799822,-0.18399835165767986,14.35,13.45,12.761904761904763,11.5,13.239285714285716,True,True
2022-09-21,14.7,264,2,9,-0.9859481499638303,-0.1670516255021195,14.5,13.6,12.785714285714286,11.5,13.303095238095239,True,True
2022-09-22,14.9,265,3,9,-0.9886775902323404,-0.15005539834465262,14.7,13.75,12.80952380952381,11.5,13.372777777777777,True,True
2022-09-23,15.1,266,4,9,-0.9911140639934546,-0.13301470653419636,14.9,13.9,12.833333333333334,11.5,13.448333333333332,True,True
2022-09-24,15.3,267,5,9,-0.9932568492674143,-0.11593459959550066,15.1,14.05,12.857142857142858,11.5,13.529761904761905,True,True
2022-09-25,15.5,268,6,9,-0.9951053111006974,-0.09882013873287211,15.3,14.2,12.880952380952381,11.5,13.617063492063492,True,True
2022-09-26,15.7,269,0,9,-0.99665890175417,-0.08167639533042288,15.5,14.35,12.904761904761905,11.5,13.710238095238093,True,True
2022-09-27,15.9,270,1,9,-0.9979171608653922,-0.06450844944931625,15.7,14.5,12.928571428571429,11.5,13.809285714285716,True,True
2022-09-28,16.1,271,2,9,-0.9988797155850335,-0.04732138832243232,15.9,14.7,12.952380952380953,11.5,13.91420634920635,True,True
2022-09-29,16.3,272,3,9,-0.9995462806873573,-0.03012030484690836,16.1,14.9,12.976190476190476,11.5,14.025,True,True
2022-09-30,16.5,273,4,9,-0.9999166586547379,-0.012910296075008843,16.3,15.1,13.0,11.5,14.141666666666667,True,True
2022-10-01,16.5,274,5,10,-0.9999907397361901,0.004303538296243821,16.5,15.3,13.0,11.5,14.258333333333333,True,True
2022-10-02,16.5,275,6,10,-0.9997685019798909,0.021516097436222233,16.5,15.5,13.0,11.5,14.375,True,True
2022-10-03,16.5,276,0,10,-0.9992500112396835,0.03872228089217399,16.5,15.7,13.0,11.5,14.491666666666667,True,True
2022-10-04,16.5,277,1,10,-0.9984354211555643,0.05591699010060302,16.5,15.9,13.0,11.5,14.608333333333333,True,True
2022-10-05,16.5,278,2,10,-0.9973249731081555,0.07309512989807776,16.5,16.1,13.0,11.5,14.725,True,True
2022-10-06,16.5,279,3,10,-0.9959189961471792,0.0902516100310407,16.5,16.3,13.0,11.5,14.841666666666667,True,True
2022-10-07,16.5,280,4,10,-0.994217906893952,0.10738134666416306,16.5,16.5,13.0,11.5,14.958333333333334,True,True
2022-10-08,16.5,281,5,10,-0.9922222094179324,0.12447926388678869,16.5,16.5,13.0,11.5,15.075,True,True
2022-10-09,16.5,282,6,10,-0.989932495087353,0.141540295217043,16.5,16.5,13.0,11.5,15.191666666666666,True,True
2022-10-10,16.5,283,0,10,-0.9873494423939864,0.15855938510313475,16.5,16.5,13.0,11.5,15.308333333333334,True,True
2022-10-11,16.5,284,1,10,-0.9844738167520923,0.17553149042142777,16.5,16.5,13.15,11.5,15.42,True,True
2022-10-12,16.5,285,2,10,-0.9813064702716093,0.19245158197082995,16.5,16.5,13.3,11.5,15.526666666666667,True,True
2022-10-13,16.5,286,3,10,-0.9778483415056567,0.20931464596304888,16.5,16.5,13.45,11.5,15.628333333333334,True,True
2022-10-14,16.5,287,4,10,-0.9741004551724206,0.22611568550828803,16.5,16.5,13.6,11.5,15.725,True,True
2022-10-15,16.5,288,5,10,-0.970063921851507,0.2428497220959358,16.5,16.5,13.75,11.5,15.816666666666666,True,True
2022-10-16,16.5,289,6,10,-0.965739937654855,0.25951179706979943,16.5,16.5,13.9,11.5,15.903333333333334,True,True
