pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_淡水鱼
2022-07-17,13.5,198,6,7,-0.2636654927280072,-0.9646141756912435,13.5,14.5,15.25,12.0,14.454166666666667,True,True
2022-07-18,13.5,199,0,7,-0.2802306751992161,-0.9599326896597445,13.5,13.5,15.25,11.75,14.395833333333334,True,True
2022-07-19,13.5,200,1,7,-0.2967128192734901,-0.9549667548552553,13.5,13.5,15.25,11.5,14.3375,True,True
2022-07-20,13.5,201,2,7,-0.3131070409358267,-0.9497178427914317,13.5,13.5,15.25,11.25,14.279166666666667,True,True
2022-07-21,13.5,202,3,7,-0.3294084822245302,-0.9441875088341994,13.5,13.5,15.25,11.0,14.220833333333333,True,True
2022-07-22,13.5,203,4,7,-0.3456123126707333,-0.9383773917408642,13.5,13.5,15.25,11.0,14.1625,True,True
2022-07-23,13.5,204,5,7,-0.3617137307297674,-0.9322892131745134,13.5,13.5,15.25,11.0,14.104166666666666,True,True
2022-07-24,13.5,205,6,7,-0.37770796520396466,-0.9259247771938499,13.5,13.5,15.25,11.25,14.045833333333333,True,True
2022-07-25,13.5,206,0,7,-0.39359027665646645,-0.9192859697186105,13.5,13.5,14.875,11.5,14.0,True,True
2022-07-26,13.5,207,1,7,-0.4093559588156211,-0.9123747579707274,13.5,13.5,14.5,11.5,13.966666666666667,True,True
2022-07-27,13.5,208,2,7,-0.42500033996955394,-0.9051931898913975,13.5,13.5,14.5,11.5,13.933333333333334,True,True
2022-07-28,13.5,209,3,7,-0.4405187843504952,-0.8977433935342336,13.5,13.5,14.5,11.5,13.9,True,True
2022-07-29,13.5,210,4,7,-0.455906693508459,-0.8900275764346766,13.5,13.5,14.5,11.5,13.866666666666667,True,True
2022-07-30,13.5,211,5,7,-0.47115950767386394,-0.8820480249558535,13.5,13.5,14.5,11.5,13.833333333333334,True,True
2022-07-31,13.5,212,6,7,-0.4862727071086902,-0.8738071036110807,13.5,13.5,14.5,11.5,13.8,True,True
2022-08-01,13.5,213,0,8,-0.5012418134457756,-0.8653072543632061,13.5,13.5,14.5,11.5,13.766666666666667,True,True
2022-08-02,13.5,214,1,8,-0.5160623910158526,-0.8565509959010037,13.5,13.5,14.5,11.5,13.733333333333333,True,True
2022-08-03,13.5,215,2,8,-0.5307300481619331,-0.8475409228928312,13.5,13.5,14.5,11.5,13.7,True,True
2022-08-04,13.5,216,3,8,-0.5452404385406507,-0.8382797052177745,13.5,13.5,14.5,11.5,13.666666666666666,True,True
2022-08-05,13.5,217,4,8,-0.5595892624101763,-0.828770087174504,13.5,13.5,14.5,11.5,13.633333333333333,True,True
2022-08-06,13.5,218,5,8,-0.5737722679043243,-0.8190148866680802,13.5,13.5,14.5,11.5,13.6,True,True
2022-08-07,13.5,219,6,8,-0.5877852522924734,-0.8090169943749472,13.5,13.5,14.5,11.5,13.566666666666666,True,True
2022-08-08,13.5,220,0,8,-0.6016240632249227,-0.7987793728863648,13.5,13.5,14.5,11.5,13.533333333333333,True,True
2022-08-09,13.5,221,1,8,-0.6152845999633277,-0.7883050558305253,13.5,13.5,14.5,11.5,13.5,True,True
2022-08-10,13.5,222,2,8,-0.6287628145958345,-0.7775971469736268,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-11,13.5,223,3,8,-0.6420547132365636,-0.7666588193001592,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-12,13.5,224,4,8,-0.655156357209085,-0.7554933140726804,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-13,13.5,225,5,8,-0.6680638642135333,-0.7441039398713608,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-14,13.5,226,6,8,-0.6807734094770159,-0.7324940716135792,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-15,13.5,227,0,8,-0.6932812268869771,-0.7206671495538615,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-16,13.5,228,1,8,-0.7055836101071774,-0.70862667826446,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-17,13.5,229,2,8,-0.7176769136759615,-0.6963762255968726,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-18,13.5,230,3,8,-0.7295575540864876,-0.6839194216246105,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-19,13.5,231,4,8,-0.7412220108485957,-0.6712599575675315,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-20,13.5,232,5,8,-0.7526668275320083,-0.6584015846980489,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-21,13.5,233,6,8,-0.7638886127905429,-0.64534811322955,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-22,13.5,234,0,8,-0.7748840413670406,-0.6321034111873488,13.5,13.5,13.5,11.5,13.5,True,True
2022-08-23,13.5,235,1,8,-0.7856498550787144,-0.6186714032625032,13.5,13.5,13.5,11.5,13.5,True,True
