pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_干果
2022-09-22,8.4,265,3,9,-0.9886775902323404,-0.15005539834465262,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-23,8.4,266,4,9,-0.9911140639934546,-0.13301470653419636,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-24,8.4,267,5,9,-0.9932568492674143,-0.11593459959550066,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-25,8.4,268,6,9,-0.9951053111006974,-0.09882013873287211,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-26,8.4,269,0,9,-0.99665890175417,-0.08167639533042288,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-27,8.4,270,1,9,-0.9979171608653922,-0.06450844944931625,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-28,8.4,271,2,9,-0.9988797155850335,-0.04732138832243232,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-29,8.4,272,3,9,-0.9995462806873573,-0.03012030484690836,8.4,8.4,8.4,8.4,8.4,True,True
2022-09-30,8.4,273,4,9,-0.9999166586547379,-0.012910296075008843,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-01,8.4,274,5,10,-0.9999907397361901,0.004303538296243821,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-02,8.4,275,6,10,-0.9997685019798909,0.021516097436222233,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-03,8.4,276,0,10,-0.9992500112396835,0.03872228089217399,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-04,8.4,277,1,10,-0.9984354211555643,0.05591699010060302,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-05,8.4,278,2,10,-0.9973249731081555,0.07309512989807776,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-06,8.4,279,3,10,-0.9959189961471792,0.0902516100310407,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-07,8.4,280,4,10,-0.994217906893952,0.10738134666416306,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-08,8.4,281,5,10,-0.9922222094179324,0.12447926388678869,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-09,8.4,282,6,10,-0.989932495087353,0.141540295217043,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-10,8.4,283,0,10,-0.9873494423939864,0.15855938510313475,8.4,8.4,8.4,8.4,8.4,True,True
2022-10-11,8.36,284,1,10,-0.9844738167520923,0.17553149042142777,8.4,8.4,8.4,8.4,8.398666666666667,True,True
2022-10-12,8.32,285,2,10,-0.9813064702716093,0.19245158197082995,8.36,8.4,8.4,8.4,8.396,True,True
2022-10-13,8.280000000000001,286,3,10,-0.9778483415056567,0.20931464596304888,8.32,8.4,8.4,8.4,8.392000000000001,True,True
2022-10-14,8.24,287,4,10,-0.9741004551724206,0.22611568550828803,8.280000000000001,8.4,8.4,8.4,8.386666666666667,True,True
2022-10-15,8.2,288,5,10,-0.970063921851507,0.2428497220959358,8.24,8.4,8.4,8.4,8.38,True,True
2022-10-16,8.16,289,6,10,-0.965739937654855,0.25951179706979943,8.2,8.4,8.4,8.4,8.372,True,True
2022-10-17,8.120000000000001,290,0,10,-0.9611297838723007,0.27609697309746883,8.16,8.4,8.4,8.4,8.362666666666668,True,True
2022-10-18,8.08,291,1,10,-0.9562348265919058,0.2926003356333479,8.120000000000001,8.36,8.4,8.4,8.352,True,True
2022-10-19,8.04,292,2,10,-0.9510565162951536,0.30901699437494723,8.08,8.32,8.4,8.4,8.34,True,True
2022-10-20,8.0,293,3,10,-0.9455963874271428,0.3253420847119795,8.04,8.280000000000001,8.4,8.4,8.326666666666666,True,True
2022-10-21,8.045454545454545,294,4,10,-0.9398560579418953,0.341570769167856,8.0,8.24,8.4,8.4,8.314848484848484,True,True
2022-10-22,8.090909090909092,295,5,10,-0.9338372288229252,0.35769823883312546,8.045454545454545,8.2,8.4,8.4,8.304545454545455,True,True
2022-10-23,8.136363636363637,296,6,10,-0.9275416835791965,0.3737197147904692,8.090909090909092,8.16,8.4,8.4,8.295757575757575,True,True
2022-10-24,8.181818181818182,297,0,10,-0.9209712877166347,0.38963044953078774,8.136363636363637,8.120000000000001,8.4,8.4,8.288484848484849,True,True
2022-10-25,8.227272727272727,298,1,10,-0.9141279881853337,0.4054257283599973,8.181818181818182,8.08,8.4,8.4,8.282727272727273,True,True
2022-10-26,8.272727272727273,299,2,10,-0.9070138128026362,0.42110087079608916,8.227272727272727,8.04,8.4,8.4,8.278484848484847,True,True
2022-10-27,8.318181818181818,300,3,10,-0.8996308696522434,0.4366512319560638,8.272727272727273,8.0,8.4,8.4,8.275757575757575,True,True
2022-10-28,8.363636363636363,301,4,10,-0.8919813464595487,0.45207220393230374,8.318181818181818,8.045454545454545,8.4,8.4,8.274545454545455,True,True
2022-10-29,8.409090909090908,302,5,10,-0.8840675099433637,0.46735921715800205,8.363636363636363,8.090909090909092,8.4,8.4,8.274848484848485,True,True
