pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_其他类
2022-08-07,44.5,219,6,8,-0.5877852522924734,-0.8090169943749472,44.5,44.5,40.0,48.0,43.775,True,True
2022-08-08,44.5,220,0,8,-0.6016240632249227,-0.7987793728863648,44.5,44.5,40.25,48.0,43.916666666666664,True,True
2022-08-09,44.5,221,1,8,-0.6152845999633277,-0.7883050558305253,44.5,44.5,40.5,48.0,44.05,True,True
2022-08-10,44.5,222,2,8,-0.6287628145958345,-0.7775971469736268,44.5,44.5,40.5,48.0,44.18333333333333,True,True
2022-08-11,44.5,223,3,8,-0.6420547132365636,-0.7666588193001592,44.5,44.5,41.5,45.0,44.28333333333333,True,True
2022-08-12,44.5,224,4,8,-0.655156357209085,-0.7554933140726804,44.5,44.5,41.5,45.0,44.38333333333333,True,True
2022-08-13,44.5,225,5,8,-0.6680638642135333,-0.7441039398713608,44.5,44.5,43.5,45.0,44.416666666666664,True,True
2022-08-14,44.5,226,6,8,-0.6807734094770159,-0.7324940716135792,44.5,44.5,44.0,45.0,44.43333333333333,True,True
2022-08-15,44.5,227,0,8,-0.6932812268869771,-0.7206671495538615,44.5,44.5,44.0,45.0,44.45,True,True
2022-08-16,44.0,228,1,8,-0.7055836101071774,-0.70862667826446,44.5,44.5,44.0,45.0,44.45,True,True
2022-08-17,44.0,229,2,8,-0.7176769136759615,-0.6963762255968726,44.0,44.5,44.0,45.0,44.45,True,True
2022-08-18,44.0,230,3,8,-0.7295575540864876,-0.6839194216246105,44.0,44.5,44.0,45.0,44.45,True,True
2022-08-19,44.0,231,4,8,-0.7412220108485957,-0.6712599575675315,44.0,44.5,44.5,45.0,44.43333333333333,True,True
2022-08-20,44.0,232,5,8,-0.7526668275320083,-0.6584015846980489,44.0,44.5,44.5,45.0,44.416666666666664,True,True
2022-08-21,44.0,233,6,8,-0.7638886127905429,-0.64534811322955,44.0,44.5,44.5,45.0,44.4,True,True
2022-08-22,44.0,234,0,8,-0.7748840413670406,-0.6321034111873488,44.0,44.5,44.5,45.0,44.38333333333333,True,True
2022-08-23,44.0,235,1,8,-0.7856498550787144,-0.6186714032625032,44.0,44.0,44.5,45.0,44.36666666666667,True,True
