pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散装,prodPcat_干果
2022-09-12,13.25,255,0,9,-0.9483615800121716,-0.31719128858910595,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-13,13.25,256,1,9,-0.9536809966304455,-0.300819807635668,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-14,13.25,257,2,9,-0.9587178169872964,-0.2843591872810036,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-15,13.25,258,3,9,-0.9634705485641486,-0.26781430516217486,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-16,13.25,259,4,9,-0.9679377830240642,-0.25119006388481957,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-17,13.25,260,5,9,-0.9721181966290612,-0.23449138957041052,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-18,13.25,261,6,9,-0.9760105506323682,-0.21772323039653224,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-19,13.25,262,0,9,-0.9796136916454901,-0.20089055513063528,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-20,13.25,263,1,9,-0.9829265519799822,-0.18399835165767986,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-21,13.25,264,2,9,-0.9859481499638303,-0.1670516255021195,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-22,13.25,265,3,9,-0.9886775902323404,-0.15005539834465262,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-23,13.25,266,4,9,-0.9911140639934546,-0.13301470653419636,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-24,13.25,267,5,9,-0.9932568492674143,-0.11593459959550066,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-25,13.25,268,6,9,-0.9951053111006974,-0.09882013873287211,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-26,13.25,269,0,9,-0.99665890175417,-0.08167639533042288,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-27,13.25,270,1,9,-0.9979171608653922,-0.06450844944931625,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-28,13.25,271,2,9,-0.9988797155850335,-0.04732138832243232,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-29,13.25,272,3,9,-0.9995462806873573,-0.03012030484690836,13.25,13.25,13.25,13.25,13.25,True,True
2022-09-30,13.25,273,4,9,-0.9999166586547379,-0.012910296075008843,13.25,13.25,13.25,13.25,13.25,True,True
2022-10-01,13.2,274,5,10,-0.9999907397361901,0.004303538296243821,13.25,13.25,13.25,13.25,13.248333333333333,True,True
