pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_40头-50头活,specInfo_30头-50头活,specInfo_30头-50头/活,specInfo_40头-60头,specInfo_35头-40头,prodPcat_虾蟹类,prodPcat_其他类
2022-07-24,140.0,205,6,7,-0.37770796520396466,-0.9259247771938499,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-24,250.0,205,6,7,-0.37770796520396466,-0.9259247771938499,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-24,140.0,205,6,7,-0.37770796520396466,-0.9259247771938499,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-24,140.0,205,6,7,-0.37770796520396466,-0.9259247771938499,140.0,140.0,140.0,62.5,140.0,False,False,False,True,False,False,True
2022-07-25,140.0,206,0,7,-0.39359027665646645,-0.9192859697186105,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-25,125.0,206,0,7,-0.39359027665646645,-0.9192859697186105,125.0,125.0,125.0,67.5,125.0,False,False,False,False,True,False,True
2022-07-25,250.0,206,0,7,-0.39359027665646645,-0.9192859697186105,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-25,140.0,206,0,7,-0.39359027665646645,-0.9192859697186105,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-25,140.0,206,0,7,-0.39359027665646645,-0.9192859697186105,140.0,140.0,140.0,62.5,140.0,False,False,False,True,False,False,True
2022-07-26,140.0,207,1,7,-0.4093559588156211,-0.9123747579707274,140.0,140.0,140.0,62.5,140.0,False,False,False,True,False,False,True
2022-07-26,125.0,207,1,7,-0.4093559588156211,-0.9123747579707274,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-07-26,140.0,207,1,7,-0.4093559588156211,-0.9123747579707274,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-26,140.0,207,1,7,-0.4093559588156211,-0.9123747579707274,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-26,250.0,207,1,7,-0.4093559588156211,-0.9123747579707274,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-27,125.0,208,2,7,-0.42500033996955394,-0.9051931898913975,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-07-27,140.0,208,2,7,-0.42500033996955394,-0.9051931898913975,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-27,140.0,208,2,7,-0.42500033996955394,-0.9051931898913975,140.0,140.0,140.0,62.5,140.0,False,False,False,True,False,False,True
2022-07-27,250.0,208,2,7,-0.42500033996955394,-0.9051931898913975,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-27,140.0,208,2,7,-0.42500033996955394,-0.9051931898913975,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-28,125.0,209,3,7,-0.4405187843504952,-0.8977433935342336,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-07-28,140.0,209,3,7,-0.4405187843504952,-0.8977433935342336,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-28,250.0,209,3,7,-0.4405187843504952,-0.8977433935342336,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-28,140.0,209,3,7,-0.4405187843504952,-0.8977433935342336,140.0,140.0,140.0,62.5,140.0,False,False,False,True,False,False,True
2022-07-28,140.0,209,3,7,-0.4405187843504952,-0.8977433935342336,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-29,250.0,210,4,7,-0.455906693508459,-0.8900275764346766,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-29,140.0,210,4,7,-0.455906693508459,-0.8900275764346766,140.0,140.0,140.0,62.5,140.0,False,False,False,True,False,False,True
2022-07-29,140.0,210,4,7,-0.455906693508459,-0.8900275764346766,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-29,140.0,210,4,7,-0.455906693508459,-0.8900275764346766,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-29,125.0,210,4,7,-0.455906693508459,-0.8900275764346766,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-07-30,250.0,211,5,7,-0.47115950767386394,-0.8820480249558535,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-30,140.0,211,5,7,-0.47115950767386394,-0.8820480249558535,140.0,140.0,140.0,67.5,140.0,False,False,False,True,False,False,True
2022-07-30,140.0,211,5,7,-0.47115950767386394,-0.8820480249558535,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-30,140.0,211,5,7,-0.47115950767386394,-0.8820480249558535,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-30,125.0,211,5,7,-0.47115950767386394,-0.8820480249558535,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-07-31,140.0,212,6,7,-0.4862727071086902,-0.8738071036110807,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-07-31,140.0,212,6,7,-0.4862727071086902,-0.8738071036110807,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-07-31,140.0,212,6,7,-0.4862727071086902,-0.8738071036110807,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-07-31,250.0,212,6,7,-0.4862727071086902,-0.8738071036110807,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-07-31,125.0,212,6,7,-0.4862727071086902,-0.8738071036110807,125.0,125.0,125.0,78.33333333333333,125.0,False,False,False,False,True,False,True
2022-08-01,125.0,213,0,8,-0.5012418134457756,-0.8653072543632061,125.0,125.0,125.0,81.66666666666667,125.0,False,False,False,False,True,False,True
2022-08-01,140.0,213,0,8,-0.5012418134457756,-0.8653072543632061,140.0,140.0,140.0,72.5,140.0,False,False,False,True,False,False,True
2022-08-01,250.0,213,0,8,-0.5012418134457756,-0.8653072543632061,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-01,140.0,213,0,8,-0.5012418134457756,-0.8653072543632061,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-01,140.0,213,0,8,-0.5012418134457756,-0.8653072543632061,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-02,140.0,214,1,8,-0.5160623910158526,-0.8565509959010037,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-02,125.0,214,1,8,-0.5160623910158526,-0.8565509959010037,125.0,125.0,125.0,85.0,125.0,False,False,False,False,True,False,True
2022-08-02,250.0,214,1,8,-0.5160623910158526,-0.8565509959010037,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-02,140.0,214,1,8,-0.5160623910158526,-0.8565509959010037,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-02,140.0,214,1,8,-0.5160623910158526,-0.8565509959010037,140.0,140.0,140.0,75.0,140.0,False,False,False,True,False,False,True
2022-08-03,140.0,215,2,8,-0.5307300481619331,-0.8475409228928312,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-03,140.0,215,2,8,-0.5307300481619331,-0.8475409228928312,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-03,125.0,215,2,8,-0.5307300481619331,-0.8475409228928312,125.0,125.0,125.0,85.0,125.0,False,False,False,False,True,False,True
2022-08-03,250.0,215,2,8,-0.5307300481619331,-0.8475409228928312,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-03,140.0,215,2,8,-0.5307300481619331,-0.8475409228928312,140.0,140.0,140.0,75.0,140.0,False,False,False,True,False,False,True
2022-08-04,140.0,216,3,8,-0.5452404385406507,-0.8382797052177745,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-04,125.0,216,3,8,-0.5452404385406507,-0.8382797052177745,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-04,250.0,216,3,8,-0.5452404385406507,-0.8382797052177745,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-04,140.0,216,3,8,-0.5452404385406507,-0.8382797052177745,140.0,140.0,140.0,74.16666666666667,140.0,False,False,False,True,False,False,True
2022-08-04,140.0,216,3,8,-0.5452404385406507,-0.8382797052177745,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-05,140.0,217,4,8,-0.5595892624101763,-0.828770087174504,140.0,140.0,140.0,73.33333333333333,140.0,False,False,False,True,False,False,True
2022-08-05,250.0,217,4,8,-0.5595892624101763,-0.828770087174504,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-05,140.0,217,4,8,-0.5595892624101763,-0.828770087174504,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-05,140.0,217,4,8,-0.5595892624101763,-0.828770087174504,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-05,125.0,217,4,8,-0.5595892624101763,-0.828770087174504,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-06,140.0,218,5,8,-0.5737722679043243,-0.8190148866680802,140.0,140.0,140.0,72.5,140.0,False,False,False,True,False,False,True
2022-08-06,140.0,218,5,8,-0.5737722679043243,-0.8190148866680802,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-06,250.0,218,5,8,-0.5737722679043243,-0.8190148866680802,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-06,125.0,218,5,8,-0.5737722679043243,-0.8190148866680802,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-06,140.0,218,5,8,-0.5737722679043243,-0.8190148866680802,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-07,140.0,219,6,8,-0.5877852522924734,-0.8090169943749472,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-07,140.0,219,6,8,-0.5877852522924734,-0.8090169943749472,140.0,140.0,140.0,72.5,140.0,False,False,False,True,False,False,True
2022-08-07,250.0,219,6,8,-0.5877852522924734,-0.8090169943749472,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-07,140.0,219,6,8,-0.5877852522924734,-0.8090169943749472,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-07,125.0,219,6,8,-0.5877852522924734,-0.8090169943749472,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-08,250.0,220,0,8,-0.6016240632249227,-0.7987793728863648,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-08,140.0,220,0,8,-0.6016240632249227,-0.7987793728863648,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-08,140.0,220,0,8,-0.6016240632249227,-0.7987793728863648,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-08-08,140.0,220,0,8,-0.6016240632249227,-0.7987793728863648,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-08,125.0,220,0,8,-0.6016240632249227,-0.7987793728863648,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-09,250.0,221,1,8,-0.6152845999633277,-0.7883050558305253,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-09,140.0,221,1,8,-0.6152845999633277,-0.7883050558305253,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-08-09,125.0,221,1,8,-0.6152845999633277,-0.7883050558305253,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-09,140.0,221,1,8,-0.6152845999633277,-0.7883050558305253,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-09,140.0,221,1,8,-0.6152845999633277,-0.7883050558305253,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-10,140.0,222,2,8,-0.6287628145958345,-0.7775971469736268,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-10,125.0,222,2,8,-0.6287628145958345,-0.7775971469736268,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-10,250.0,222,2,8,-0.6287628145958345,-0.7775971469736268,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-10,140.0,222,2,8,-0.6287628145958345,-0.7775971469736268,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-10,140.0,222,2,8,-0.6287628145958345,-0.7775971469736268,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-08-11,140.0,223,3,8,-0.6420547132365636,-0.7666588193001592,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-11,125.0,223,3,8,-0.6420547132365636,-0.7666588193001592,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-11,250.0,223,3,8,-0.6420547132365636,-0.7666588193001592,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-11,140.0,223,3,8,-0.6420547132365636,-0.7666588193001592,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-11,140.0,223,3,8,-0.6420547132365636,-0.7666588193001592,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-08-12,250.0,224,4,8,-0.655156357209085,-0.7554933140726804,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-12,140.0,224,4,8,-0.655156357209085,-0.7554933140726804,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-12,140.0,224,4,8,-0.655156357209085,-0.7554933140726804,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-08-12,140.0,224,4,8,-0.655156357209085,-0.7554933140726804,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-12,125.0,224,4,8,-0.655156357209085,-0.7554933140726804,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-13,125.0,225,5,8,-0.6680638642135333,-0.7441039398713608,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-13,140.0,225,5,8,-0.6680638642135333,-0.7441039398713608,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-13,140.0,225,5,8,-0.6680638642135333,-0.7441039398713608,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-08-13,250.0,225,5,8,-0.6680638642135333,-0.7441039398713608,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-13,140.0,225,5,8,-0.6680638642135333,-0.7441039398713608,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-14,140.0,226,6,8,-0.6807734094770159,-0.7324940716135792,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
2022-08-14,125.0,226,6,8,-0.6807734094770159,-0.7324940716135792,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-14,140.0,226,6,8,-0.6807734094770159,-0.7324940716135792,140.0,140.0,140.0,70.0,140.0,False,False,False,True,False,False,True
2022-08-14,250.0,226,6,8,-0.6807734094770159,-0.7324940716135792,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-14,140.0,226,6,8,-0.6807734094770159,-0.7324940716135792,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-15,140.0,227,0,8,-0.6932812268869771,-0.7206671495538615,140.0,140.0,140.0,140.0,140.0,True,False,False,False,False,True,False
2022-08-15,250.0,227,0,8,-0.6932812268869771,-0.7206671495538615,250.0,250.0,250.0,250.0,250.0,False,False,True,False,False,True,False
2022-08-15,125.0,227,0,8,-0.6932812268869771,-0.7206671495538615,125.0,125.0,125.0,75.0,125.0,False,False,False,False,True,False,True
2022-08-15,140.0,227,0,8,-0.6932812268869771,-0.7206671495538615,140.0,140.0,140.0,140.0,140.0,False,True,False,False,False,True,False
