pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_鲜,prodPcat_海水鱼,prodPcat_其他类
2022-10-31,12.030339805825243,304,0,10,-0.8674563547295971,0.4975132889071803,12.026699029126213,12.004854368932039,11.92111650485437,8.5,11.97754854368932,True,True,False
2022-11-01,8.5,305,1,11,-0.858763958275803,0.5123714121284235,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-01,12.033980582524272,305,1,11,-0.858763958275803,0.5123714121284235,12.030339805825243,12.008495145631068,11.924757281553399,8.5,11.981189320388351,True,True,False
2022-11-02,8.5,306,2,11,-0.8498170915275277,0.5270777086423724,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-02,12.037621359223301,306,2,11,-0.8498170915275277,0.5270777086423724,12.033980582524272,12.012135922330097,11.928398058252426,8.5,11.984830097087379,True,True,False
2022-11-03,8.5,307,3,11,-0.8406184056344783,0.5416278206559811,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-03,12.04126213592233,307,3,11,-0.8406184056344783,0.5416278206559811,12.037621359223301,12.015776699029127,11.932038834951456,8.5,11.988470873786408,True,True,False
2022-11-04,8.5,308,4,11,-0.8311706263658079,0.5560174366570446,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-04,12.044902912621358,308,4,11,-0.8311706263658079,0.5560174366570446,12.04126213592233,12.019417475728154,11.935679611650485,8.5,11.992111650485436,True,True,False
2022-11-05,8.5,309,5,11,-0.8214765533024145,0.5702422926917867,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-05,12.048543689320388,309,5,11,-0.8214765533024145,0.5702422926917867,12.044902912621358,12.023058252427184,11.939320388349515,8.5,11.995752427184467,True,True,False
2022-11-06,12.052184466019417,310,6,11,-0.8115390590073611,0.5842981736283683,12.048543689320388,12.026699029126213,11.942961165048544,8.5,11.999393203883495,True,True,False
2022-11-06,8.5,310,6,11,-0.8115390590073611,0.5842981736283683,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-07,12.055825242718447,311,0,11,-0.801361088174677,0.5981809144059158,12.052184466019417,12.030339805825243,11.946601941747574,8.5,12.003033980582526,True,True,False
2022-11-07,8.5,311,0,11,-0.801361088174677,0.5981809144059158,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-08,12.059466019417476,312,1,11,-0.7909456567567774,0.6118864012687242,12.055825242718447,12.033980582524272,11.950242718446603,8.5,12.006674757281553,True,True,False
2022-11-08,8.5,312,1,11,-0.7909456567567774,0.6118864012687242,8.5,8.5,8.5,8.5,8.5,True,False,True
