pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,specInfo_鲜,prodPcat_海水鱼,prodPcat_虾蟹类
2023-01-07,61.674418604651166,7,5,1,0.1202080448993527,0.9927487224577402,61.609819121447025,61.22222222222222,59.736434108527135,37.5,60.73772609819121,True,False,True,False
2023-01-08,37.5,8,6,1,0.13727877211326478,0.9905324521322229,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-08,16.5,8,6,1,0.13727877211326478,0.9905324521322229,16.5,16.5,16.5,15.5,16.5,False,True,True,False
2023-01-08,61.7390180878553,8,6,1,0.13727877211326478,0.9905324521322229,61.674418604651166,61.286821705426355,59.80103359173127,37.5,60.80232558139535,True,False,True,False
2023-01-09,37.5,9,0,1,0.15430882066428117,0.9880226656636976,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-09,16.5,9,0,1,0.15430882066428117,0.9880226656636976,16.5,16.5,16.5,15.5,16.5,False,True,True,False
2023-01-09,61.80361757105943,9,0,1,0.15430882066428117,0.9880226656636976,61.7390180878553,61.35142118863049,59.8656330749354,37.5,60.866925064599485,True,False,True,False
2023-01-10,16.5,10,1,1,0.1712931441814776,0.9852201067560606,16.5,16.5,16.5,15.5,16.5,False,True,True,False
2023-01-10,61.86821705426357,10,1,1,0.1712931441814776,0.9852201067560606,61.80361757105943,61.41602067183462,59.93023255813954,37.5,60.93152454780361,True,False,True,False
2023-01-10,37.5,10,1,1,0.1712931441814776,0.9852201067560606,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-11,61.9328165374677,11,2,1,0.1882267098432442,0.9821256058680006,61.86821705426357,61.48062015503876,59.99483204134367,37.5,60.996124031007746,True,False,True,False
2023-01-11,37.5,11,2,1,0.1882267098432442,0.9821256058680006,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-11,16.5,11,2,1,0.1882267098432442,0.9821256058680006,16.5,16.5,16.5,15.5,16.5,False,True,True,False
2023-01-12,61.997416020671835,12,3,1,0.2051044998686192,0.9787400799669153,61.9328165374677,61.54521963824289,60.059431524547804,37.5,61.06072351421188,True,False,True,False
2023-01-12,37.5,12,3,1,0.2051044998686192,0.9787400799669153,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-12,16.5,12,3,1,0.2051044998686192,0.9787400799669153,16.5,16.5,16.5,15.5,16.5,False,True,True,False
2023-01-13,62.06201550387597,13,4,1,0.2219215130041655,0.9750645322571948,61.997416020671835,61.609819121447025,60.12403100775194,37.5,61.12532299741601,True,False,True,False
2023-01-13,16.5,13,4,1,0.2219215130041655,0.9750645322571948,16.5,16.5,16.5,15.5,16.5,False,True,True,False
2023-01-13,37.5,13,4,1,0.2219215130041655,0.9750645322571948,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-14,16.5,14,5,1,0.2386727660059501,0.9711000518829505,16.5,16.5,16.5,15.5,16.5,False,True,True,False
2023-01-14,62.1266149870801,14,5,1,0.2386727660059501,0.9711000518829505,62.06201550387597,61.674418604651166,60.18863049095607,37.5,61.189922480620154,True,False,True,False
2023-01-14,37.5,14,5,1,0.2386727660059501,0.9711000518829505,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-15,16.5,15,6,1,0.255353295116187,0.9668478136052775,16.5,16.5,16.5,15.75,16.5,False,True,True,False
2023-01-15,62.19121447028424,15,6,1,0.255353295116187,0.9668478136052775,62.1266149870801,61.7390180878553,60.253229974160206,37.5,61.254521963824295,True,False,True,False
2023-01-15,37.5,15,6,1,0.255353295116187,0.9668478136052775,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-16,62.25581395348837,16,0,1,0.2719581575341055,0.9623090774541486,62.19121447028424,61.80361757105943,60.31782945736434,37.5,61.31912144702842,True,False,True,False
