pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_进口果
2022-10-09,11.5,282,6,10,-0.989932495087353,0.141540295217043,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-10,11.5,283,0,10,-0.9873494423939864,0.15855938510313475,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-11,11.5,284,1,10,-0.9844738167520923,0.17553149042142777,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-12,11.5,285,2,10,-0.9813064702716093,0.19245158197082995,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-13,11.5,286,3,10,-0.9778483415056567,0.20931464596304888,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-14,11.5,287,4,10,-0.9741004551724206,0.22611568550828803,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-15,11.5,288,5,10,-0.970063921851507,0.2428497220959358,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-16,11.5,289,6,10,-0.965739937654855,0.25951179706979943,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-17,11.5,290,0,10,-0.9611297838723007,0.27609697309746883,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-18,11.5,291,1,10,-0.9562348265919058,0.2926003356333479,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-19,11.5,292,2,10,-0.9510565162951536,0.30901699437494723,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-20,11.5,293,3,10,-0.9455963874271428,0.3253420847119795,11.5,11.5,11.5,13.0,11.5,True,True
2022-10-21,11.727272727272727,294,4,10,-0.9398560579418953,0.341570769167856,11.5,11.5,11.5,13.0,11.507575757575758,True,True
2022-10-22,11.954545454545455,295,5,10,-0.9338372288229252,0.35769823883312546,11.727272727272727,11.5,11.5,13.0,11.522727272727273,True,True
2022-10-23,12.181818181818182,296,6,10,-0.9275416835791965,0.3737197147904692,11.954545454545455,11.5,11.5,13.0,11.545454545454545,True,True
